Question,Answer
How many years of work experience do you have with Investigative Reporting?,10
How many years of urn:li:industry:97 experience do you currently have?,4
Are you legally authorized to work in AE?,Yes
How many years of work experience do you have with IT Recruitment?,14
How many years of work experience do you have with Online Marketing?,16
How many years of work experience do you have with Content Design?,9
How many years of work experience do you have with Agile Project Management?,7
How many years of work experience do you have with Microsoft Publisher?,10
Are you legally authorized to work in CZ?,Yes
How many years of work experience do you have with Research and Development (R&D)?,5
How many years of work experience do you have with Accounting?,9
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with News Writing?,7
Are you legally authorized to work in SE?,Yes
How many years of work experience do you have with Social Media Analysis?,7
What is your level of proficiency in dan?,Conversational
How many years of work experience do you have with Sourcing?,5
How many years of work experience do you have with Forest Management?,1
How many years of work experience do you have with Fraud Prevention?,5
How many years of work experience do you have with Intellectual Property Infringement?,4
How many years of work experience do you have with Angel Investing?,0
How many years of work experience do you have with Market Research?,4
How many years of work experience do you have with Quantitative Analytics?,5
Description,
How many years of work experience do you have with Relationship Building?,5
How many years of work experience do you have with Corporate Social Media?,7
What is your level of proficiency in dut?,Conversational
How many years of work experience do you have with Microsoft PowerPoint?,7
How many years of work experience do you have with PowerPoint?,7
How many years of work experience do you have with Breaking News?,5
How many years of work experience do you have with Windows?,17
How many years of work experience do you have with Content Migration?,7
How many years of work experience do you have with Business Management?,5
How many years of work experience do you have with Growth Marketing?,7
How many years of work experience do you have with Account Management?,3
Are you legally authorized to work in GB?,Yes
How many years of work experience do you have with Self-Management?,12
How many years of work experience do you have with Ska?,0
Veteran status,NotProtectedVeteran
How many years of work experience do you have with Stock Exchange?,10
What is your level of proficiency in ara?,None
How many years of SALE experience do you currently have?,8
How many years of work experience do you have with Sales Recruitment?,1
How many years of work experience do you have with Paid Social Media Advertising?,8
How many years of work experience do you have with Data Analysis?,2
How many years of work experience do you have with Sales and Marketing?,10
What is your level of proficiency in kor?,None
How many years of work experience do you have with Digital Marketing Analytics?,10
How many years of work experience do you have with Video?,14
How many years of work experience do you have with Financial Advisory?,3
How many years of urn:li:industry:94 experience do you currently have?,1
How many years of work experience do you have with Facebook?,12
How many years of work experience do you have with Multi-Channel Marketing?,9
How many years of OTHR experience do you currently have?,10
Company,
How many years of work experience do you have with Sales?,7
How many years of work experience do you have with Grant Writing?,7
How many years of work experience do you have with Business Project Management?,8
How many years of work experience do you have with Lead Generation?,0
ZIP / Postal Code,
How many years of work experience do you have with Sales Management?,2
How many years of work experience do you have with Automotive?,8
How many years of urn:li:industry:100 experience do you currently have?,2
How many years of work experience do you have with IT Strategy?,7
How many years of work experience do you have with Facebook Ads?,12
How many years of urn:li:industry:28 experience do you currently have?,12
How many years of work experience do you have with Security Incident Response?,9
How many years of work experience do you have with Domain-Driven Design (DDD)?,3
How many years of work experience do you have with Performing Arts?,1
How many years of work experience do you have with Office 365?,12
What is your level of proficiency in rus?,Conversational
How many years of work experience do you have with Facebook Marketing?,7
What is your level of proficiency in por?,None
How many years of work experience do you have with Financial Management Experience?,1
How many years of work experience do you have with Youth Organizations?,7
How many years of urn:li:industry:112 experience do you currently have?,0
Are you legally authorized to work in it?,Yes
How many years of work experience do you have with Investigative Research?,9
Have you completed the following level of education: Master's Degree?,No
How many years of work experience do you have with Instagram?,10
How many years of work experience do you have with Digital Transformation?,10
What is your level of proficiency in deu?,Conversational
Your title,
How many years of work experience do you have with Entertainment Industry?,4
How many years of work experience do you have with Strategy Consulting?,4
How many years of work experience do you have with Business?,10
Location (city),
How many years of urn:li:industry:43 experience do you currently have?,5
How many years of urn:li:industry:59 experience do you currently have?,1
How many years of work experience do you have with PL/SQL?,3
How many years of work experience do you have with Cyber?,6
How many years of work experience do you have with Benchmarking?,4
How many years of work experience do you have with Tiktok Marketing?,7
